N-HSEA	&
SK-SUONK	chuốc
SK-SUOJ	chuối
SK-SUONT	chuốt
SK-HUOJ	chuồi
SK-HUON	chuồn
SK-HUOG	chuồng
SKN-SUOJ	chuỗi
SKN-UONK	chuộc
SKN-UOJ	chuội
SKN-UOG	chuộng
SKN-UONT	chuột
SK-HUY	chuỳ
SK-HA	chà
SK-HAJ	chài
SK-HAT	chàm
SK-HAG	chàng
SK-HAK	chành
SK-HAJK	chào
SK-HAJN	chày
SK-SA	chá
SK-SANK	chác
SK-SAGK	chách
SK-SAJ	chái
SK-SAN	chán
SK-SAG	cháng
SK-SAK	chánh
SK-SAJK	cháo
SK-SANT	chát
SK-SAJG	cháu
SK-SAJN	cháy
SK*-ET	châm
SK*-EN	chân
SK*-EG	châng
SK*-EJG	châu
SK*-EJN	chây
SKN-SA	chã
SKN-SAJ	chãi
SKN-SAJK	chão
SK-HE	chè
SK-HET	chèm
SK-HEN	chèn
SK-HEJK	chèo
SK-SE	ché
SK-SET	chém
SK-SEN	chén
SK-SEJK	chéo
SK-SETK	chép
SK-SENT	chét
SK-OE	chê
SK-OET	chêm
SK-OEK	chênh
SK-H*I	chì
SK-HIE	chìa
SK-H*IT	chìm
SK-H*IK	chình
SK-S*I	chí
SK-S*IGK	chích
SK-S*IT	chím
SK-S*IN	chín
SK-S*IK	chính
SK-S*ITK	chíp
SK-S*INT	chít
SK-S*IJG	chíu
SK-HO	chò
SK-HOJ	chòi
SK-HOT	chòm
SK-HOG	chòng
SK-SO	chó
SK-SONK	chóc
SK-SOJ	chói
SK-SOT	chóm
SK-SOG	chóng
SK-SOTK	chóp
SK-SONT	chót
SK-OAT	chôm
SK-OAN	chôn
SK-OAG	chông
SKN-SO	chõ
SKN-SOT	chõm
SKN-SOG	chõng
SK-HIU	chù
SK-HUO	chùa
SK-HIUJ	chùi
SK-HIUT	chùm
SK-HIUN	chùn
SK-HIUG	chùng
SK-SIU	chú
SK-SUO	chúa
SK-SIUNK	chúc
SK-SIUJ	chúi
SK-SIUT	chúm
SK-SIUG	chúng
SK-SIUNT	chút
SK*-AT	chăm
SK*-AN	chăn
SK*-AG	chăng
SKN-SIE	chĩa
SKN-S*IN	chĩn
SKN-S*IK	chĩnh
SKN-SIU	chũ
SKN-SIUJ	chũi
SKN-SIUT	chũm
SKN-SIUN	chũn
SK-OY	chơ
SK-OYJ	chơi
SK-OYT	chơm
SK-OYN	chơn
SK-UA	chư
SK-EA	chưa
SK-UAG	chưng
SK-EAG	chương
SK-SEANK	chước
SK-SEAG	chướng
SK-HEAT	chườm
SK-HEAG	chường
SK-HSEAG	chưởng
SKN-SEAG	chưỡng
SKN-EANK	chược
SKN-EATK	chượp
SKN-A	chạ
SKN-ANK	chạc
SKN-AGK	chạch
SKN-AT	chạm
SKN-AN	chạn
SKN-AG	chạng
SKN-AK	chạnh
SKN-AJK	chạo
SKN-ATK	chạp
SKN-ANT	chạt
SKN-AJN	chạy
SK-HSA	chả
SK-HSAJ	chải
SK-HSAJK	chảo
SK-HSAJG	chảu
SK-HSAJN	chảy
SK-S*ET	chấm
SK-S*EN	chấn
SK-S*ETK	chấp
SK-S*ENT	chất
SK-S*EJG	chấu
SK-S*EJN	chấy
SK-H*ET	chầm
SK-H*EN	chần
SK-H*EJG	chầu
SK-H*EJN	chầy
SK-HS*ET	chẩm
SK-HS*EN	chẩn
SK-HS*EJG	chẩu
SKN-S*ET	chẫm
SKN-S*EJG	chẫu
SKN*-ENK	chậc
SKN*-ET	chậm
SKN*-EN	chận
SKN*-ETK	chập
SKN*-ENT	chật
SKN*-EJG	chậu
SK-S*ANK	chắc
SK-S*AT	chắm
SK-S*AN	chắn
SK-S*ATK	chắp
SK-S*ANT	chắt
SK-H*AT	chằm
SK-H*AN	chằn
SK-H*AG	chằng
SK-HS*AG	chẳng
SKN-S*AN	chẵn
SKN*-ANK	chặc
SKN*-AT	chặm
SKN*-AN	chặn
SKN*-AG	chặng
SKN*-ATK	chặp
SKN*-ANT	chặt
SKN-EN	chẹn
SKN-EJK	chẹo
SKN-ENT	chẹt
SK-HSE	chẻ
SK-HSEG	chẻng
SK-HSEJK	chẻo
SKN-SE	chẽ
SKN-SEN	chẽn
SK-SOE	chế
SK-SOEGK	chếch
SK-SOEK	chếnh
SK-SOENT	chết
SK-HOE	chề
SK-HOEK	chềnh
SK-HSOEK	chểnh
SKN-SOET	chễm
SKN-SOEK	chễnh
SKN-OE	chệ
SKN-OEGK	chệch
SKN-OEN	chện
SKN-OEK	chệnh
SK-HS*I	chỉ
SK-HS*IN	chỉn
SK-HS*IK	chỉnh
SKN*-I	chị
SKN-IE	chịa
SKN*-INT	chịt
SKN*-IJG	chịu
SKN-ONK	chọc
SKN-OJ	chọi
SKN-OT	chọm
SKN-ON	chọn
SKN-ONT	chọt
SK-HSO	chỏ
SK-HSOJ	chỏi
SK-HSOT	chỏm
SK-HSON	chỏn
SK-HSOG	chỏng
SK-SOANK	chốc
SK-SOAJ	chối
SK-SOAN	chốn
SK-SOAG	chống
SK-SOATK	chốp
SK-SOANT	chốt
SK-HOA	chồ
SK-HOAJ	chồi
SK-HOAT	chồm
SK-HOAN	chồn
SK-HOAG	chồng
SK-HSOAJ	chổi
SK-HSOAT	chổm
SK-HSOAG	chổng
SKN-SOA	chỗ
SKN-SOAJ	chỗi
SKN-SOAT	chỗm
SKN-OA	chộ
SKN-OAJ	chội
SKN-OAN	chộn
SKN-OATK	chộp
SKN-OANT	chột
SK-SOY	chớ
SK-SOYJ	chới
