N-HSEA	&
SR*-ET	lâm
SR*-EN	lân
SR*-EG	lâng
SR*-EJG	lâu
SR*-EJN	lây
SRN-SA	lã
SRN-SAJ	lãi
SRN-SAT	lãm
SRN-SAN	lãn
SRN-SAG	lãng
SRN-SAK	lãnh
SRN-SAJK	lão
SR-HE	lè
SR-HET	lèm
SR-HEN	lèn
SR-HEG	lèng
SR-HEJK	lèo
SR-SE	lé
SR-SENK	léc
SR-SET	lém
SR-SEN	lén
SR-SEG	léng
SR-SEJK	léo
SR-SETK	lép
SR-SENT	lét
SR-OE	lê
SR-OEN	lên
SR-OEK	lênh
SR-OEJG	lêu
SR-H*I	lì
SR-HIE	lìa
SR-H*IT	lìm
SR-H*IK	lình
SR-H*IJG	lìu
SR-S*I	lí
SR-S*IGK	lích
SR-S*IK	lính
SR-S*ITK	líp
SR-S*INT	lít
SR-S*IJG	líu
SR-HO	lò
SR-HOJ	lòi
SR-HOT	lòm
SR-HON	lòn
SR-HOG	lòng
SR-SO	ló
SR-SONK	lóc
SR-SOJ	lói
SR-SOT	lóm
SR-SOG	lóng
SR-SOTK	lóp
SR-SONT	lót
SR-OA	lô
SR-OAJ	lôi
SR-OAT	lôm
SR-OAG	lông
SRN-SO	lõ
SRN-SOJ	lõi
SRN-SOT	lõm
SRN-SOG	lõng
SR-HIU	lù
SR-HUO	lùa
SR-HIUJ	lùi
SR-HIUT	lùm
SR-HIUN	lùn
SR-HIUG	lùng
SR-SIU	lú
SR-SUO	lúa
SR-SIUNK	lúc
SR-SIUJ	lúi
SR-SIUT	lúm
SR-SIUN	lún
SR-SIUG	lúng
SR-SIUTK	lúp
SR-SIUNT	lút
SR-SI	lý
SR*-AT	lăm
SR*-AN	lăn
SR*-AG	lăng
SRN-S*I	lĩ
SRN-S*IK	lĩnh
SRN-SIU	lũ
SRN-SUO	lũa
SRN-SIUJ	lũi
SRN-SIUT	lũm
SRN-SIUN	lũn
SRN-SIUG	lũng
SR-OY	lơ
SR-OYJ	lơi
SR-OYN	lơn
SR-UA	lư
SR-EA	lưa
SR-UAG	lưng
SR-UAJG	lưu
SR-EAT	lươm
SR-EAN	lươn
SR-EAG	lương
SR-SEAJ	lưới
SR-SEAG	lướng
SR-SEANT	lướt
SR-HEAJ	lười
SR-HEAT	lườm
SR-HEAN	lườn
SR-HEAG	lường
SRN-SEAJ	lưỡi
SRN-SEAG	lưỡng
SRN-EANK	lược
SRN-EAT	lượm
SRN-EAN	lượn
SRN-EAG	lượng
SRN-EANT	lượt
SRN-A	lạ
SRN-ANK	lạc
SRN-AGK	lạch
SRN-AJ	lại
SRN-AT	lạm
SRN-AN	lạn
SRN-AG	lạng
SRN-AK	lạnh
SRN-AJK	lạo
SRN-ATK	lạp
SRN-ANT	lạt
SRN-AJG	lạu
SRN-AJN	lạy
SR-HSA	lả
SR-HSAJ	lải
SR-HSAT	lảm
SR-HSAN	lản
SR-HSAG	lảng
SR-HSAK	lảnh
SR-HSAJK	lảo
SR-HSAJG	lảu
SR-HSAJN	lảy
SR-S*ENK	lấc
SR-S*ET	lấm
SR-S*EN	lấn
SR-S*ETK	lấp
SR-S*ENT	lất
SR-S*EJN	lấy
SR-H*ET	lầm
SR-H*EN	lần
SR-H*EJG	lầu
SR-H*EJN	lầy
SR-HS*ET	lẩm
SR-HS*EN	lẩn
SR-HS*EJG	lẩu
SR-HS*EJN	lẩy
SRN-S*ET	lẫm
SRN-S*EN	lẫn
SRN-S*EJN	lẫy
SRN*-EN	lận
SRN*-ETK	lập
SRN*-ENT	lật
SRN*-EJG	lậu
SRN*-EJN	lậy
SR-S*ANK	lắc
SR-S*AT	lắm
SR-S*AG	lắng
SR-S*ATK	lắp
SR-S*ANT	lắt
SR-H*AT	lằm
SR-H*AN	lằn
SR-H*AG	lằng
SR-HS*AT	lẳm
SR-HS*AN	lẳn
SR-HS*AG	lẳng
SRN-S*AG	lẵng
SRN*-ANK	lặc
SRN*-AT	lặm
SRN*-AN	lặn
SRN*-AG	lặng
SRN*-ATK	lặp
SRN*-ANT	lặt
SRN-E	lẹ
SRN-ET	lẹm
SRN-EN	lẹn
SRN-EJK	lẹo
SRN-ETK	lẹp
SRN-ENT	lẹt
SR-HSE	lẻ
SR-HSET	lẻm
SR-HSEN	lẻn
SR-HSEG	lẻng
SR-HSEJK	lẻo
SRN-SE	lẽ
SRN-SEN	lẽn
SRN-SEJK	lẽo
SR-SOEGK	lếch
SR-SOENT	lết
SR-SOEJG	lếu
SR-HOE	lề
SR-HOEK	lềnh
SR-HOEJG	lều
SR-HSOE	lể
SR-HSOEJG	lểu
SRN-SOE	lễ
SRN-OE	lệ
SRN-OEGK	lệch
SRN-OEK	lệnh
SRN-OENT	lệt
SR-HS*IK	lỉnh
SR-HS*IJG	lỉu
SRN*-I	lị
SRN-IE	lịa
SRN*-IGK	lịch
SRN*-IT	lịm
SRN*-IK	lịnh
SRN*-IJG	lịu
SRN-O	lọ
SRN-ONK	lọc
SRN-OJ	lọi
SRN-OT	lọm
SRN-ON	lọn
SRN-OG	lọng
SRN-OTK	lọp
SRN-ONT	lọt
SR-HSOJ	lỏi
SR-HSOT	lỏm
SR-HSON	lỏn
SR-HSOG	lỏng
SR-SOA	lố
SR-SOANK	lốc
SR-SOAJ	lối
SR-SOAT	lốm
SR-SOAN	lốn
SR-SOATK	lốp
SR-SOANT	lốt
SR-HOA	lồ
SR-HOAJ	lồi
SR-HOAT	lồm
SR-HOAN	lồn
SR-HOAG	lồng
SR-HSOA	lổ
SR-HSOAT	lổm
SR-HSOAN	lổn
SR-HSOAG	lổng
SRN-SOA	lỗ
SRN-SOAJ	lỗi
SRN-OA	lộ
SRN-OANK	lộc
SRN-OAJ	lội
SRN-OAT	lộm
SRN-OAN	lộn
SRN-OAG	lộng
SRN-OATK	lộp
SRN-OANT	lột
SR-SOY	lớ
SR-SOYJ	lới
SR-SOYN	lớn
SR-SOYTK	lớp
SR-SOYNT	lớt
SR-HOY	lờ
SR-HOYJ	lời
SR-HOYT	lờm
SR-HOYN	lờn
SR-HSOY	lở
SR-HSOYJ	lởi
SR-HSOYT	lởm
SR-HSOYN	lởn
SRN-SOY	lỡ
SRN-SOYJ	lỡi
SRN-SOYT	lỡm
SRN-OY	lợ
SRN-OYJ	lợi
SRN-OYT	lợm
SRN-OYN	lợn
SRN-OYTK	lợp
SRN-OYNT	lợt
SRN-IU	lụ
SRN-UO	lụa
SRN-IUNK	lục
SRN-IUJ	lụi
SRN-IUT	lụm
SRN-IUN	lụn
SRN-IUG	lụng
SRN-IUTK	lụp
SRN-IUNT	lụt
SR-HSIU	lủ
SR-HSUO	lủa
SR-HSIUJ	lủi
SR-HSIUT	lủm
SR-HSIUN	lủn
SR-HSIUG	lủng
SR-SEA	lứa
SR-SUANK	lức
SR-SUANT	lứt
SR-HUA	lừ
SR-HEA	lừa
SR-HUAG	lừng
SR-HSUA	lử
SR-HSEA	lửa
SR-HSUAG	lửng
SRN-SUA	lữ
SRN-SEA	lữa
SRN-SUAG	lững
SRN-UA	lự
SRN-EA	lựa
SRN-UANK	lực
SRN-UAG	lựng
SRN-UAJG	lựu
SRN-I	lỵ
RH-A	ma
RH-AJ	mai
RH-AN	man
RH-AG	mang
RH-AK	manh
RH-AJK	mao
RH-AJG	mau
RH-AJN	may
RH-E	me
RH-EN	men
RH-EJK	meo
RH*-I	mi
RH-IE	mia
RH*-IN	min
RH*-IK	minh
RH*-IJG	miu
RH-IEN	miên
RH-IEJG	miêu
RH-SIEN	miến
RH-SIEG	miếng
RH-SIENT	miết
RH-SIEJG	miếu
RH-HIEN	miền
RH-HIEJG	miều
RH-HSIEJG	miểu
RHN-SIEN	miễn
RHN-SIEJG	miễu
RHN-IEN	miện
RHN-IEG	miệng
RHN-IENT	miệt
RHN-IEJG	miệu
RH-O	mo
RH-UJN	moay
RH-OJ	moi
RH-OT	mom
RH-ON	mon
RH-OG	mong
RH*-OG	moong
RH-IU	mu
RH-UO	mua
RH-IUJ	mui
RH-IUN	mun
RH-IUG	mung
RH-UOJ	muôi
RH-UON	muôn
RH-UOG	muông
RH-SUOJ	muối
RH-SUON	muốn
RH-SUOG	muống
RH-SUONT	muốt
RH-HUOJ	muồi
RH-HUOG	muồng
RHN-SUOJ	muỗi
RHN-SUOT	muỗm
RHN-SUOG	muỗng
RHN-UOJ	muội
RHN-UON	muộn
RH-HA	mà
RH-HAJ	mài
RH-HAN	màn
RH-HAG	màng
RH-HAK	mành
RH-HAJK	mào
RH-HAJG	màu
RH-HAJN	mày
RH-SA	má
RH-SANK	mác
RH-SAGK	mách
RH-SAJ	mái
RH-SAT	mám
RH-SAN	mán
RH-SAG	máng
RH-SAK	mánh
RH-SAJK	máo
RH-SANT	mát
RH-SAJG	máu
RH-SAJN	máy
RH*-ET	mâm
RH*-EN	mân
RH*-EJG	mâu
RH*-EJN	mây
RHN-SA	mã
RHN-SAJ	mãi
RHN-SAN	mãn
RHN-SAG	mãng
RHN-SAK	mãnh
RHN-SAJK	mão
RH-HE	mè
RH-HET	mèm
RH-HEN	mèn
RH-HEG	mèng
RH-HEJK	mèo
RH-SE	mé
RH-SENK	méc
RH-SET	mém
RH-SEN	mén
RH-SEJK	méo
RH-SETK	mép
RH-SENT	mét
RH-OE	mê
RH-OEN	mên
RH-OEK	mênh
RH-H*I	mì
RH-H*IN	mìn
RH-H*IK	mình
RH-S*I	mí
RH-SIE	mía
RH-S*IGK	mích
RH-S*IT	mím
RH-S*ITK	míp
RH-S*INT	mít
RH-S*IJG	míu
RH-HO	mò
RH-HOJ	mòi
RH-HOT	mòm
RH-HON	mòn
RH-HOG	mòng
RH-SO	mó
RH-SONK	móc
RH-SOJ	mói
RH-SOT	móm
RH-SON	món
RH-SOG	móng
RH-SOTK	móp
RH-SONT	mót
RH-OA	mô
RH-OAJ	môi
RH-OAT	môm
RH-OAN	môn
RH-OAG	mông
RHN-SO	mõ
RHN-SOT	mõm
RH-HIU	mù
RH-HUO	mùa
RH-HIUJ	mùi
RH-HIUN	mùn
RH-HIUG	mùng
RH-SIU	mú
RH-SUO	múa
RH-SIUNK	múc
RH-SIUJ	múi
RH-SIUT	múm
RH-SIUN	mún
RH-SIUTK	múp
RH-SIUNT	mút
RH*-AT	măm
RH*-AN	măn
RH*-AG	măng
RHN-S*I	mĩ
RHN-S*IT	mĩm
RHN-SIU	mũ
RHN-SIUJ	mũi
RHN-SIUT	mũm
RH-OY	mơ
RH-OYJ	mơi
RH-OYN	mơn
RH-EA	mưa
RH-UAG	mưng
RH-UAJG	mưu
RH-EAJ	mươi
RH-EAG	mương
RH-SEAN	mướn
RH-SEATK	mướp
RH-SEANT	mướt
RH-HEAJ	mười
RH-HEAG	mường
RH-HSEAJ	mưởi
RH-HSEAJG	mưởu
RHN-EANK	mược
RHN-EAN	mượn
RHN-EANT	mượt
RHN-A	mạ
RHN-ANK	mạc
RHN-AGK	mạch
RHN-AJ	mại
RHN-AN	mạn
RHN-AG	mạng
RHN-AK	mạnh
RHN-AJK	mạo
RHN-ATK	mạp
RHN-ANT	mạt
RHN-AJN	mạy
RH-HSA	mả
RH-HSAJ	mải
RH-HSAN	mản
RH-HSAG	mảng
RH-HSAK	mảnh
RH-HSAJN	mảy
RH-S*EN	mấn
RH-S*ETK	mấp
RH-S*ENT	mất
RH-S*EJG	mấu
RH-S*EJN	mấy
RH-H*ET	mầm
RH-H*EN	mần
RH-H*EJG	mầu
RH-H*EJN	mầy
RH-HS*ET	mẩm
RH-HS*EN	mẩn
RH-HS*EJG	mẩu
RH-HS*EJN	mẩy
RHN-S*ET	mẫm
RHN-S*EN	mẫn
RHN-S*EJG	mẫu
RHN*-ET	mậm
RHN*-EN	mận
RHN*-ETK	mập
RHN*-ENT	mật
RHN*-EJG	mậu
RHN*-EJN	mậy
RH-S*ANK	mắc
RH-S*AT	mắm
RH-S*AN	mắn
RH-S*AG	mắng
RH-S*ANT	mắt
RH-H*AN	mằn
RH-HS*AN	mẳn
RHN*-ANK	mặc
RHN*-AN	mặn
RHN*-ANT	mặt
RHN-E	mẹ
RHN-EJK	mẹo
RHN-ETK	mẹp
RHN-ENT	mẹt
RH-HSE	mẻ
RHN-SE	mẽ
RH-SOE	mế
RH-SOEGK	mếch
RH-SOEN	mến
RH-SOEJG	mếu
RH-HOE	mề
RH-HOET	mềm
RH-HOEN	mền
RHN-SOE	mễ
RHN-OE	mệ
RHN-OEK	mệnh
RHN-OENT	mệt
RH-HS*I	mỉ
RH-HSIE	mỉa
RH-HS*IT	mỉm
RHN*-I	mị
RHN*-IGK	mịch
RHN*-IN	mịn
RHN*-INT	mịt
RHN-O	mọ
RHN-ONK	mọc
RHN-OJ	mọi
RHN-OT	mọm
RHN-ON	mọn
RHN-OG	mọng
RHN-OTK	mọp
RHN-ONT	mọt
RH-HSO	mỏ
RH-HSOJ	mỏi
RH-HSOT	mỏm
RH-HSOG	mỏng
RH-SOA	mố
RH-SOANK	mốc
RH-SOAJ	mối
RH-SOAG	mống
RH-SOANT	mốt
RH-HOA	mồ
RH-HOAJ	mồi
RH-HOAT	mồm
RH-HOAN	mồn
RH-HOAG	mồng
RH-HSOA	mổ
RH-HSOAG	mổng
RHN-SOA	mỗ
RHN-SOAJ	mỗi
RHN-OA	mộ
RHN-OANK	mộc
RHN-OAJ	mội
RHN-OAG	mộng
RHN-OANT	một
RH-SOY	mớ
RH-SOYJ	mới
RH-SOYT	mớm
RH-SOYN	mớn
RH-HOY	mờ
RH-HOYJ	mời
RH-HOYT	mờm
RH-HSOY	mở
RH-HSOYN	mởn
RHN-SOY	mỡ
RHN-OY	mợ
RHN-IU	mụ
RHN-IUNK	mục
RHN-IUJ	mụi
RHN-IUN	mụn
RHN-IUNT	mụt
RH-HSIU	mủ
RH-HSIUJ	mủi
RH-HSIUT	mủm
RH-HSIUN	mủn
RH-HSIUG	mủng
RH-SEA	mứa
RH-SUANK	mức
RH-SUANT	mứt
RH-SUAJG	mứu
RH-HUAG	mừng
RH-HSEA	mửa
RH-HSUAG	mửng
RHN-EA	mựa
RHN-UANK	mực
RHN-SI	mỹ
SRH-A	na
SRH-AJ	nai
SRH-AT	nam
SRH-AN	nan
SRH-AG	nang
SRH-AK	nanh
SRH-AJK	nao
SRH-AJN	nay
SRH-E	ne
SRH-ET	nem
SRH-EN	nen
SRH-EJK	neo
KR-A	nga
KR-AJ	ngai
KR-AN	ngan
KR-AG	ngang
KR-AJK	ngao
KR-AJG	ngau
KR-AJN	ngay
KR-E	nghe
KR-EN	nghen
KR*-I	nghi
KR*-IK	nghinh
KR*-IJG	nghiu
KR-IET	nghiêm
KR-IEN	nghiên
KR-IEG	nghiêng
KR-SIEN	nghiến
KR-HIEN	nghiền
KRN-SIET	nghiễm
KRN-IET	nghiệm
KRN-IEN	nghiện
KRN-IETK	nghiệp
KRN-IENT	nghiệt
KR-HE	nghè
KR-HEN	nghèn
KR-HEJK	nghèo
KR-SE	nghé
KR-SEN	nghén
KR-SENT	nghét
KR-OE	nghê
KR-OEK	nghênh
KR-OEJG	nghêu
KR-H*I	nghì
KR-H*IN	nghìn
KR-S*I	nghí
KR-SIE	nghía
KRN-S*I	nghĩ
KRN-SIE	nghĩa
KRN-S*IK	nghĩnh
KRN-E	nghẹ
KRN-EN	nghẹn
KRN-EJK	nghẹo
KRN-ENT	nghẹt
KR-HSEJK	nghẻo
KRN-SEN	nghẽn
KRN-SEJK	nghẽo
KR-SOEGK	nghếch
KR-HOE	nghề
KR-HOEJG	nghều
KR-HSOE	nghể
KR-HSOEN	nghển
KR-HSOEK	nghểnh
KR-HSOEJG	nghểu
KRN-SOE	nghễ
KRN-SOEK	nghễnh
KRN-SOEJG	nghễu
KRN-OE	nghệ
KRN-OEGK	nghệch
KRN-OEN	nghện
KRN-OEJG	nghệu
KR-HS*I	nghỉ
KR-HS*IT	nghỉm
KR-HS*IK	nghỉnh
KR-HS*IJG	nghỉu
KRN*-I	nghị
KRN*-IGK	nghịch
KRN*-INT	nghịt
KRN*-IJG	nghịu
KR-O	ngo
KR-U	ngoa
KR-UJ	ngoai
KR-UN	ngoan
KR-UJK	ngoao
KR-UJN	ngoay
KR-AY	ngoe
KR-AYN	ngoen
KR-OJ	ngoi
KR-ON	ngon
KR-HUJ	ngoài
KR-HUT	ngoàm
KR-SUNK	ngoác
KR-SUJ	ngoái
KR-SUJK	ngoáo
KR-SUTK	ngoáp
KR-SUJN	ngoáy
KRN-SU	ngoã
KRN-SUN	ngoãn
KR-HAYJK	ngoèo
KR-SAY	ngoé
KR-SAYJK	ngoéo
KR-SAYNT	ngoét
KRN-U	ngoạ
KRN-UNK	ngoạc
KRN-UJ	ngoại
KRN-UT	ngoạm
KRN-UN	ngoạn
KRN-UJN	ngoạy
KR-HSUJ	ngoải
KR-HSUK	ngoảnh
KR-HSUJN	ngoảy
KR-S*UNK	ngoắc
KR-S*UNT	ngoắt
KR-H*UN	ngoằn
KR-H*UG	ngoằng
KRN-S*UG	ngoẵng
KRN*-UNK	ngoặc
KRN*-UTK	ngoặp
KRN*-UNT	ngoặt
KRN-AYJK	ngoẹo
KR-HSAYN	ngoẻn
KR-HSAYJK	ngoẻo
KR-IU	ngu
KR-UY	nguy
KR-EYN	nguyên
KR-HEYN	nguyền
KRN-SEYN	nguyễn
KRN-EYN	nguyện
KRN-EYNT	nguyệt
KR*-YJN	nguây
KR-UOJ	nguôi
KR-SUYNT	nguýt
KR-HS*YJN	nguẩy
KRN*-YJN	nguậy
KR-SUEGK	nguếch
KRN-UEGK	nguệch
KR-HUON	nguồn
KRN-UOJ	nguội
KRN-UY	nguỵ
KR-HSUYJG	nguỷu
KR-HA	ngà
KR-HAJ	ngài
KR-HAT	ngàm
KR-HAN	ngàn
KR-HAG	ngàng
KR-HAK	ngành
KR-HAJK	ngào
KR-HAJG	ngàu
KR-HAJN	ngày
KR-SANK	ngác
KR-SAGK	ngách
KR-SAJ	ngái
KR-SAN	ngán
KR-SAG	ngáng
KR-SAJK	ngáo
KR-SATK	ngáp
KR-SANT	ngát
KR-SAJG	ngáu
KR-SAJN	ngáy
KR*-ET	ngâm
KR*-EN	ngân
KR*-EJG	ngâu
KR*-EJN	ngây
KRN-SA	ngã
KRN-SAJ	ngãi
KRN-SAG	ngãng
KRN-SAJK	ngão
KR-HO	ngò
KR-HOJ	ngòi
KR-HOT	ngòm
KR-HOG	ngòng
KR-SO	ngó
KR-SONK	ngóc
KR-SOJ	ngói
KR-SOT	ngóm
KR-SON	ngón
KR-SOG	ngóng
KR-SOTK	ngóp
KR-SONT	ngót
KR-OA	ngô
KR-OAJ	ngôi
KR-OAN	ngôn
KR-OAG	ngông
KRN-SO	ngõ
KRN-SOT	ngõm
KRN-SOG	ngõng
KR-HIU	ngù
KR-HIUJ	ngùi
KR-HIUN	ngùn
KR-HIUG	ngùng
KR-SIUNK	ngúc
KR-SIUN	ngún
KR-SIUG	ngúng
KR-SIUNT	ngút
KR*-AT	ngăm
KR*-AN	ngăn
KRN-SIU	ngũ
KR-OY	ngơ
KR-OYJ	ngơi
KR-OYT	ngơm
KR-UA	ngư
KR-EA	ngưa
KR-UAG	ngưng
KR-UAJG	ngưu
KR-EAJ	ngươi
KR-SEANK	ngước
KR-HEAJ	người
KR-HEAG	ngường
KR-HSEAG	ngưởng
KRN-SEAG	ngưỡng
KRN-EANK	ngược
KRN-EAG	ngượng
KRN-ANK	ngạc
KRN-AGK	ngạch
KRN-AJ	ngại
KRN-AN	ngạn
KRN-AK	ngạnh
KRN-AJK	ngạo
KRN-ANT	ngạt
KR-HSA	ngả
KR-HSAJ	ngải
KR-HSAK	ngảnh
KR-S*ENK	ngấc
KR-S*ET	ngấm
KR-S*EN	ngấn
KR-S*ETK	ngấp
KR-S*ENT	ngất
KR-S*EJG	ngấu
KR-S*EJN	ngấy
KR-H*ET	ngầm
KR-H*EN	ngần
KR-H*EJG	ngầu
KR-H*EJN	ngầy
KR-HS*ET	ngẩm
KR-HS*EN	ngẩn
KR-HS*EG	ngẩng
KRN-S*ET	ngẫm
KRN-S*EG	ngẫng
KRN-S*EJG	ngẫu
KRN*-ET	ngậm
KRN*-ETK	ngập
KRN*-ENT	ngật
KRN*-EJG	ngậu
KRN*-EJN	ngậy
KR-S*ANK	ngắc
KR-S*AT	ngắm
KR-S*AN	ngắn
KR-S*ANT	ngắt
KR-H*AN	ngằn
KR-HS*AG	ngẳng
KRN-S*AG	ngẵng
KRN*-ANT	ngặt
KRN-O	ngọ
KRN-ONK	ngọc
KRN-ON	ngọn
KRN-OG	ngọng
KRN-ONT	ngọt
KR-HSO	ngỏ
KR-HSOT	ngỏm
KR-HSON	ngỏn
KR-HSOG	ngỏng
KR-SOA	ngố
KR-SOANK	ngốc
KR-SOAN	ngốn
KR-SOANT	ngốt
KR-HOA	ngồ
KR-HOAJ	ngồi
KR-HOAN	ngồn
KR-HOAG	ngồng
KR-HSOA	ngổ
KR-HSOAT	ngổm
KR-HSOAN	ngổn
KR-HSOAG	ngổng
KRN-SOA	ngỗ
KRN-SOAG	ngỗng
KRN-OA	ngộ
KRN-OANK	ngộc
KRN-OAN	ngộn
KRN-OANT	ngột
KR-SOY	ngớ
KR-SOYN	ngớn
KR-SOYTK	ngớp
KR-SOYNT	ngớt
KR-HOY	ngờ
KR-HOYJ	ngời
KR-HOYT	ngờm
KRN-SOY	ngỡ
KRN-OY	ngợ
KRN-OYJ	ngợi
KRN-OYT	ngợm
KRN-OYTK	ngợp
KRN-IU	ngụ
KRN-UO	ngụa
KRN-IUNK	ngục
KRN-IUT	ngụm
KRN-IUTK	ngụp
KRN-IUNT	ngụt
KR-HSIU	ngủ
KR-HSIUJ	ngủi
KR-HSIUT	ngủm
KR-HSIUN	ngủn
KR-HSIUG	ngủng
KR-SUA	ngứ
KR-SEA	ngứa
KR-SUANT	ngứt
KR-HUA	ngừ
KR-HEA	ngừa
KR-HUAG	ngừng
KR-HSEA	ngửa
KR-HSUAJ	ngửi
KR-HSUAG	ngửng
KRN-SUA	ngữ
KRN-UA	ngự
KRN-EA	ngựa
KRN-UANK	ngực
TK-A	nha
TK-AJ	nhai
TK-AT	nham
TK-AN	nhan
TK-AG	nhang
TK-AK	nhanh
TK-AJK	nhao
TK-AJG	nhau
TK-AJN	nhay
TK-E	nhe
TK-ET	nhem
TK-EN	nhen
TK-EJK	nheo
TK*-I	nhi
TK*-IK	nhinh
TK-IEN	nhiên
TK-IEJG	nhiêu
TK-SIENK	nhiếc
TK-SIETK	nhiếp
TK-HIEJG	nhiều
TKN-SIET	nhiễm
TKN-SIEN	nhiễn
TKN-SIEJG	nhiễu
TKN-IET	nhiệm
TKN-IENT	nhiệt
TK-O	nho
TK-UJ	nhoai
TK-UJN	nhoay
TK-AY	nhoe
TK-AYN	nhoen
TK-OJ	nhoi
TK-OT	nhom
TK-ON	nhon
TK-OG	nhong
TK-HU	nhoà
TK-HUJ	nhoài
TK-HUT	nhoàm
TK-HUG	nhoàng
TK-SU	nhoá
TK-SUG	nhoáng
TK-SUJN	nhoáy
TK-HAY	nhoè
TK-HAYN	nhoèn
TK-SAYNT	nhoét
TKN-UG	nhoạng
TKN-AYNT	nhoẹt
TK-HSAYN	nhoẻn
TK-IU	nhu
TK-IUT	nhum
TK-IUG	nhung
TKN-SEYN	nhuyễn
TK-UOT	nhuôm
TK-H*YN	nhuần
TKN*-YN	nhuận
TKN-UE	nhuệ
TK-SUONK	nhuốc
TK-SUOT	nhuốm
TKN-UOT	nhuộm
TKN-UY	nhuỵ
TK-HA	nhà
TK-HAJ	nhài
TK-HAT	nhàm
TK-HAN	nhàn
TK-HAG	nhàng
TK-HAK	nhành
TK-HAJK	nhào
TK-HAJG	nhàu
TK-SA	nhá
TK-SANK	nhác
TK-SAGK	nhách
TK-SAJ	nhái
TK-SAT	nhám
TK-SAK	nhánh
TK-SAJK	nháo
TK-SATK	nháp
TK-SANT	nhát
TK-SAJN	nháy
TK*-ET	nhâm
TK*-EN	nhân
TK*-EG	nhâng
TK*-EJG	nhâu
TK*-EJN	nhây
TKN-SA	nhã
TKN-SAJ	nhãi
TKN-SAN	nhãn
TKN-SAG	nhãng
TKN-SAJK	nhão
TK-HE	nhè
TK-HET	nhèm
TK-HEJK	nhèo
TK-SE	nhé
TK-SEN	nhén
TK-SEJK	nhéo
TK-SETK	nhép
TK-SENT	nhét
TK-OEK	nhênh
TK-H*I	nhì
TK-H*IN	nhìn
TK-S*I	nhí
TK-SIE	nhía
TK-S*IGK	nhích
TK-S*IT	nhím
TK-S*IN	nhín
TK-S*IK	nhính
TK-S*ITK	nhíp
TK-S*INT	nhít
TK-S*IJG	nhíu
TK-HOT	nhòm
TK-HOG	nhòng
TK-SO	nhó
TK-SONK	nhóc
TK-SOJ	nhói
TK-SOT	nhóm
TK-SON	nhón
TK-SOG	nhóng
TK-SOTK	nhóp
TK-SONT	nhót
TK-OA	nhô
TK-OAJ	nhôi
TK-OAT	nhôm
TK-OAN	nhôn
TK-OAG	nhông
TKN-SOT	nhõm
TKN-SOG	nhõng
TK-HIUJ	nhùi
TK-HIUG	nhùng
TK-SIU	nhú
TK-SUO	nhúa
TK-SIUNK	nhúc
TK-SIUJ	nhúi
TK-SIUT	nhúm
TK-SIUN	nhún
TK-SIUG	nhúng
TK-SIUNT	nhút
TK*-AT	nhăm
TK*-AN	nhăn
TK*-AG	nhăng
TKN-S*I	nhĩ
TKN-SIU	nhũ
TKN-SIUN	nhũn
TKN-SIUG	nhũng
TK-OY	nhơ
TK-OYJ	nhơi
TK-OYT	nhơm
TK-OYN	nhơn
TK-UA	như
TK-UAG	nhưng
TK-EAG	nhương
TK-SEAN	nhướn
TK-SEAG	nhướng
TK-HEAG	nhường
TKN-SEAG	nhưỡng
TKN-EANK	nhược
TKN-EAG	nhượng
TKN-A	nhạ
TKN-ANK	nhạc
TKN-AJ	nhại
TKN-AN	nhạn
TKN-AG	nhạng
TKN-AK	nhạnh
TKN-AJK	nhạo
TKN-ATK	nhạp
TKN-ANT	nhạt
TKN-AJN	nhạy
TK-HSA	nhả
TK-HSAJ	nhải
TK-HSAT	nhảm
TK-HSAN	nhản
TK-HSAK	nhảnh
TK-HSAJK	nhảo
TK-HSAJG	nhảu
TK-HSAJN	nhảy
TK-S*ENK	nhấc
TK-S*ET	nhấm
TK-S*EN	nhấn
TK-S*ETK	nhấp
TK-S*ENT	nhất
TK-H*ET	nhầm
TK-H*EN	nhần
TK-H*EJG	nhầu
TK-H*EJN	nhầy
TK-HS*ET	nhẩm
TK-HS*EN	nhẩn
TK-HS*EJG	nhẩu
TK-HS*EJN	nhẩy
TKN-S*EN	nhẫn
TKN-S*EJN	nhẫy
TKN*-ET	nhậm
TKN*-EN	nhận
TKN*-ETK	nhập
TKN*-ENT	nhật
TKN*-EJG	nhậu
TKN*-EJN	nhậy
TK-S*ANK	nhắc
TK-S*AT	nhắm
TK-S*AN	nhắn
TK-S*AG	nhắng
TK-S*ATK	nhắp
TK-S*ANT	nhắt
TK-H*AT	nhằm
TK-H*AN	nhằn
TK-H*AG	nhằng
TK-HS*AN	nhẳn
TK-HS*AG	nhẳng
TKN-S*AN	nhẵn
TKN-S*AG	nhẵng
TKN*-AT	nhặm
TKN*-AN	nhặn
TKN*-AG	nhặng
TKN*-ANT	nhặt
TKN-E	nhẹ
TKN-ET	nhẹm
TKN-EN	nhẹn
TKN-EJK	nhẹo
TKN-ETK	nhẹp
TKN-ENT	nhẹt
TK-HSE	nhẻ
TK-HSET	nhẻm
TKN-SE	nhẽ
TKN-SEJK	nhẽo
TK-SOEGK	nhếch
TK-SOEJG	nhếu
TK-HSOE	nhể
TK-HSOEJG	nhểu
TKN-SOE	nhễ
TKN-SOEJG	nhễu
TKN-OEGK	nhệch
TKN-OEN	nhện
